127.0.0.1 - - [08/Apr/2020:13:18:32 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/ HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/fonts/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/vendors/css/extensions/pace.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/bootstrap-extended.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/fonts/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/core/menu/menu-types/vertical-overlay-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/core/menu/menu-types/vertical-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/core/colors/palette-gradient.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/js/core/libraries/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:40 +0900] "GET /finalpj/resources/app-assets/css/colors.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/perfect-scrollbar.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/tether.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/unison.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/js/core/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/jquery.matchHeight-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/extensions/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/js/core/app-menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/blockUI.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/screenfull.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/images/logo/testlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/fonts/icomoon/icomoon.ttf?1ki0q8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:18:41 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:19:46 +0900] "POST /finalpj/loginimpl HTTP/1.1" 500 10799
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:19:46 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:20:44 +0900] "POST /finalpj/loginimpl HTTP/1.1" 500 10799
0:0:0:0:0:0:0:1 - - [08/Apr/2020:13:20:56 +0900] "GET /finalpj/loginimpl?id=admin&pwd=admin HTTP/1.1" 405 801
